Source,Block Name,Variable Name,Variable Description,Value,Value Description
ALSPAC,wave1m,covid1m_2044,a6a5:  Participant had runny nose in Jan: COVID1,-5,Checked no boxes in a6a5
ALSPAC,wave1m,covid1m_2044,a6a5:  Participant had runny nose in Jan: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2044,a6a5:  Participant had runny nose in Jan: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2044,a6a5:  Participant had runny nose in Jan: COVID1,2,No
ALSPAC,wave1m,covid1m_2045,a6a5:  Participant had runny nose in Feb: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2045,a6a5:  Participant had runny nose in Feb: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2045,a6a5:  Participant had runny nose in Feb: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2045,a6a5:  Participant had runny nose in Feb: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2045,a6a5:  Participant had runny nose in Feb: COVID1,-5,Checked no boxes in a6a5
ALSPAC,wave1m,covid1m_2045,a6a5:  Participant had runny nose in Feb: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2045,a6a5:  Participant had runny nose in Feb: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2045,a6a5:  Participant had runny nose in Feb: COVID1,2,No
ALSPAC,wave1m,covid1m_2046,a6a5:  Participant had runny nose in Mar: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2046,a6a5:  Participant had runny nose in Mar: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2046,a6a5:  Participant had runny nose in Mar: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2046,a6a5:  Participant had runny nose in Mar: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2046,a6a5:  Participant had runny nose in Mar: COVID1,-5,Checked no boxes in a6a5
ALSPAC,wave1m,covid1m_2046,a6a5:  Participant had runny nose in Mar: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2046,a6a5:  Participant had runny nose in Mar: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2046,a6a5:  Participant had runny nose in Mar: COVID1,2,No
ALSPAC,wave1m,covid1m_2047,a6a5:  Participant had runny nose in Apr: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2047,a6a5:  Participant had runny nose in Apr: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2047,a6a5:  Participant had runny nose in Apr: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2047,a6a5:  Participant had runny nose in Apr: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2047,a6a5:  Participant had runny nose in Apr: COVID1,-5,Checked no boxes in a6a5
ALSPAC,wave1m,covid1m_2047,a6a5:  Participant had runny nose in Apr: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2047,a6a5:  Participant had runny nose in Apr: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2047,a6a5:  Participant had runny nose in Apr: COVID1,2,No
ALSPAC,wave1m,covid1m_2048,a6a5:  Participant had runny nose in last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2048,a6a5:  Participant had runny nose in last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2048,a6a5:  Participant had runny nose in last week: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2048,a6a5:  Participant had runny nose in last week: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2048,a6a5:  Participant had runny nose in last week: COVID1,-5,Checked no boxes in a6a5
ALSPAC,wave1m,covid1m_2048,a6a5:  Participant had runny nose in last week: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2048,a6a5:  Participant had runny nose in last week: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2048,a6a5:  Participant had runny nose in last week: COVID1,2,No
ALSPAC,wave1m,covid1m_2050,a6a6: Participant ever had sneezing since Oct: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2050,a6a6: Participant ever had sneezing since Oct: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2050,a6a6: Participant ever had sneezing since Oct: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2050,a6a6: Participant ever had sneezing since Oct: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2050,a6a6: Participant ever had sneezing since Oct: COVID1,-5,Checked no boxes in a6a6
ALSPAC,wave1m,covid1m_2050,a6a6: Participant ever had sneezing since Oct: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2050,a6a6: Participant ever had sneezing since Oct: COVID1,1," Yes, Had symptoms at some point"
ALSPAC,wave1m,covid1m_2050,a6a6: Participant ever had sneezing since Oct: COVID1,2,"No, did not have symptoms at all"
ALSPAC,wave1m,covid1m_2051,a6a6:  Participant had sneezing in Oct: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2051,a6a6:  Participant had sneezing in Oct: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2051,a6a6:  Participant had sneezing in Oct: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2051,a6a6:  Participant had sneezing in Oct: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2051,a6a6:  Participant had sneezing in Oct: COVID1,-5,Checked no boxes in a6a6
ALSPAC,wave1m,covid1m_2051,a6a6:  Participant had sneezing in Oct: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2051,a6a6:  Participant had sneezing in Oct: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2051,a6a6:  Participant had sneezing in Oct: COVID1,2,No
ALSPAC,wave1m,covid1m_2052,a6a6:  Participant had sneezing in Nov: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2052,a6a6:  Participant had sneezing in Nov: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2052,a6a6:  Participant had sneezing in Nov: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2052,a6a6:  Participant had sneezing in Nov: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2052,a6a6:  Participant had sneezing in Nov: COVID1,-5,Checked no boxes in a6a6
ALSPAC,wave1m,covid1m_2052,a6a6:  Participant had sneezing in Nov: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2052,a6a6:  Participant had sneezing in Nov: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2052,a6a6:  Participant had sneezing in Nov: COVID1,2,No
ALSPAC,wave1m,covid1m_2053,a6a6:  Participant had sneezing in Dec: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2053,a6a6:  Participant had sneezing in Dec: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2053,a6a6:  Participant had sneezing in Dec: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2053,a6a6:  Participant had sneezing in Dec: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2053,a6a6:  Participant had sneezing in Dec: COVID1,-5,Checked no boxes in a6a6
ALSPAC,wave1m,covid1m_2053,a6a6:  Participant had sneezing in Dec: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2053,a6a6:  Participant had sneezing in Dec: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2053,a6a6:  Participant had sneezing in Dec: COVID1,2,No
ALSPAC,wave1m,covid1m_2054,a6a6:  Participant had sneezing in Jan: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2054,a6a6:  Participant had sneezing in Jan: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2054,a6a6:  Participant had sneezing in Jan: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2054,a6a6:  Participant had sneezing in Jan: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2054,a6a6:  Participant had sneezing in Jan: COVID1,-5,Checked no boxes in a6a6
ALSPAC,wave1m,covid1m_2054,a6a6:  Participant had sneezing in Jan: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2054,a6a6:  Participant had sneezing in Jan: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2054,a6a6:  Participant had sneezing in Jan: COVID1,2,No
ALSPAC,wave1m,covid1m_2055,a6a6:  Participant had sneezing in Feb: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2055,a6a6:  Participant had sneezing in Feb: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2055,a6a6:  Participant had sneezing in Feb: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2055,a6a6:  Participant had sneezing in Feb: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2055,a6a6:  Participant had sneezing in Feb: COVID1,-5,Checked no boxes in a6a6
ALSPAC,wave1m,covid1m_2055,a6a6:  Participant had sneezing in Feb: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2055,a6a6:  Participant had sneezing in Feb: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2055,a6a6:  Participant had sneezing in Feb: COVID1,2,No
ALSPAC,wave1m,covid1m_2056,a6a6:  Participant had sneezing in Mar: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2056,a6a6:  Participant had sneezing in Mar: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2056,a6a6:  Participant had sneezing in Mar: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2056,a6a6:  Participant had sneezing in Mar: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2056,a6a6:  Participant had sneezing in Mar: COVID1,-5,Checked no boxes in a6a6
ALSPAC,wave1m,covid1m_2056,a6a6:  Participant had sneezing in Mar: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2056,a6a6:  Participant had sneezing in Mar: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2056,a6a6:  Participant had sneezing in Mar: COVID1,2,No
ALSPAC,wave1m,covid1m_2057,a6a6:  Participant had sneezing in Apr: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2057,a6a6:  Participant had sneezing in Apr: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2057,a6a6:  Participant had sneezing in Apr: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2057,a6a6:  Participant had sneezing in Apr: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2057,a6a6:  Participant had sneezing in Apr: COVID1,-5,Checked no boxes in a6a6
ALSPAC,wave1m,covid1m_2057,a6a6:  Participant had sneezing in Apr: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2057,a6a6:  Participant had sneezing in Apr: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2057,a6a6:  Participant had sneezing in Apr: COVID1,2,No
ALSPAC,wave1m,covid1m_2058,a6a6:  Participant had sneezing in last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2058,a6a6:  Participant had sneezing in last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2058,a6a6:  Participant had sneezing in last week: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2058,a6a6:  Participant had sneezing in last week: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2058,a6a6:  Participant had sneezing in last week: COVID1,-5,Checked no boxes in a6a6
ALSPAC,wave1m,covid1m_2058,a6a6:  Participant had sneezing in last week: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2058,a6a6:  Participant had sneezing in last week: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2058,a6a6:  Participant had sneezing in last week: COVID1,2,No
ALSPAC,wave1m,covid1m_2060,a6a7: Participant ever had a blocked nose since Oct: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2060,a6a7: Participant ever had a blocked nose since Oct: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2060,a6a7: Participant ever had a blocked nose since Oct: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2060,a6a7: Participant ever had a blocked nose since Oct: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2060,a6a7: Participant ever had a blocked nose since Oct: COVID1,-5,Checked no boxes in a6a7
ALSPAC,wave1m,covid1m_2060,a6a7: Participant ever had a blocked nose since Oct: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2060,a6a7: Participant ever had a blocked nose since Oct: COVID1,1," Yes, Had symptoms at some point"
ALSPAC,wave1m,covid1m_2060,a6a7: Participant ever had a blocked nose since Oct: COVID1,2,"No, did not have symptoms at all"
ALSPAC,wave1m,covid1m_2061,a6a7:  Participant had a blocked nose in Oct: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2061,a6a7:  Participant had a blocked nose in Oct: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2061,a6a7:  Participant had a blocked nose in Oct: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2061,a6a7:  Participant had a blocked nose in Oct: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2061,a6a7:  Participant had a blocked nose in Oct: COVID1,-5,Checked no boxes in a6a7
ALSPAC,wave1m,covid1m_2061,a6a7:  Participant had a blocked nose in Oct: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2061,a6a7:  Participant had a blocked nose in Oct: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2061,a6a7:  Participant had a blocked nose in Oct: COVID1,2,No
ALSPAC,wave1m,covid1m_2062,a6a7:  Participant had a blocked nose in Nov: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2062,a6a7:  Participant had a blocked nose in Nov: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2062,a6a7:  Participant had a blocked nose in Nov: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2062,a6a7:  Participant had a blocked nose in Nov: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2062,a6a7:  Participant had a blocked nose in Nov: COVID1,-5,Checked no boxes in a6a7
ALSPAC,wave1m,covid1m_2062,a6a7:  Participant had a blocked nose in Nov: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2062,a6a7:  Participant had a blocked nose in Nov: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2062,a6a7:  Participant had a blocked nose in Nov: COVID1,2,No
ALSPAC,wave1m,covid1m_2063,a6a7:  Participant had a blocked nose in Dec: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2063,a6a7:  Participant had a blocked nose in Dec: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2063,a6a7:  Participant had a blocked nose in Dec: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2063,a6a7:  Participant had a blocked nose in Dec: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2063,a6a7:  Participant had a blocked nose in Dec: COVID1,-5,Checked no boxes in a6a7
ALSPAC,wave1m,covid1m_2063,a6a7:  Participant had a blocked nose in Dec: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2063,a6a7:  Participant had a blocked nose in Dec: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2063,a6a7:  Participant had a blocked nose in Dec: COVID1,2,No
ALSPAC,wave1m,covid1m_2064,a6a7:  Participant had a blocked nose in Jan: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2064,a6a7:  Participant had a blocked nose in Jan: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2064,a6a7:  Participant had a blocked nose in Jan: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2064,a6a7:  Participant had a blocked nose in Jan: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2064,a6a7:  Participant had a blocked nose in Jan: COVID1,-5,Checked no boxes in a6a7
ALSPAC,wave1m,covid1m_2064,a6a7:  Participant had a blocked nose in Jan: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2064,a6a7:  Participant had a blocked nose in Jan: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2064,a6a7:  Participant had a blocked nose in Jan: COVID1,2,No
ALSPAC,wave1m,covid1m_2065,a6a7:  Participant had a blocked nose in Feb': COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2065,a6a7:  Participant had a blocked nose in Feb': COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2065,a6a7:  Participant had a blocked nose in Feb': COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2065,a6a7:  Participant had a blocked nose in Feb': COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2065,a6a7:  Participant had a blocked nose in Feb': COVID1,-5,Checked no boxes in a6a7
ALSPAC,wave1m,covid1m_2065,a6a7:  Participant had a blocked nose in Feb': COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2065,a6a7:  Participant had a blocked nose in Feb': COVID1,1,Yes
ALSPAC,wave1m,covid1m_2065,a6a7:  Participant had a blocked nose in Feb': COVID1,2,No
ALSPAC,wave1m,covid1m_2066,a6a7:  Participant had a blocked nose in Mar: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2066,a6a7:  Participant had a blocked nose in Mar: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2066,a6a7:  Participant had a blocked nose in Mar: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2066,a6a7:  Participant had a blocked nose in Mar: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2066,a6a7:  Participant had a blocked nose in Mar: COVID1,-5,Checked no boxes in a6a7
ALSPAC,wave1m,covid1m_2066,a6a7:  Participant had a blocked nose in Mar: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2066,a6a7:  Participant had a blocked nose in Mar: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2066,a6a7:  Participant had a blocked nose in Mar: COVID1,2,No
ALSPAC,wave1m,covid1m_2067,a6a7:  Participant had a blocked nose in Apr: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2067,a6a7:  Participant had a blocked nose in Apr: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2067,a6a7:  Participant had a blocked nose in Apr: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2067,a6a7:  Participant had a blocked nose in Apr: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2067,a6a7:  Participant had a blocked nose in Apr: COVID1,-5,Checked no boxes in a6a7
ALSPAC,wave1m,covid1m_2067,a6a7:  Participant had a blocked nose in Apr: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2067,a6a7:  Participant had a blocked nose in Apr: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2067,a6a7:  Participant had a blocked nose in Apr: COVID1,2,No
ALSPAC,wave1m,covid1m_2068,a6a7:  Participant had a blocked nose in last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2068,a6a7:  Participant had a blocked nose in last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2068,a6a7:  Participant had a blocked nose in last week: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2068,a6a7:  Participant had a blocked nose in last week: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2068,a6a7:  Participant had a blocked nose in last week: COVID1,-5,Checked no boxes in a6a7
ALSPAC,wave1m,covid1m_2068,a6a7:  Participant had a blocked nose in last week: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2068,a6a7:  Participant had a blocked nose in last week: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2068,a6a7:  Participant had a blocked nose in last week: COVID1,2,No
ALSPAC,wave1m,covid1m_2070,a6a8: Participant ever had sore eyes since Oct: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2070,a6a8: Participant ever had sore eyes since Oct: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2070,a6a8: Participant ever had sore eyes since Oct: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2070,a6a8: Participant ever had sore eyes since Oct: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2070,a6a8: Participant ever had sore eyes since Oct: COVID1,-5,Checked no boxes in a6a8
ALSPAC,wave1m,covid1m_2070,a6a8: Participant ever had sore eyes since Oct: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2070,a6a8: Participant ever had sore eyes since Oct: COVID1,1," Yes, Had symptoms at some point"
ALSPAC,wave1m,covid1m_2070,a6a8: Participant ever had sore eyes since Oct: COVID1,2,"No, did not have symptoms at all"
ALSPAC,wave1m,covid1m_2071,a6a8:  Participant had sore eyes in Oct: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2071,a6a8:  Participant had sore eyes in Oct: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2071,a6a8:  Participant had sore eyes in Oct: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2071,a6a8:  Participant had sore eyes in Oct: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2071,a6a8:  Participant had sore eyes in Oct: COVID1,-5,Checked no boxes in a6a8
ALSPAC,wave1m,covid1m_2071,a6a8:  Participant had sore eyes in Oct: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2071,a6a8:  Participant had sore eyes in Oct: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2071,a6a8:  Participant had sore eyes in Oct: COVID1,2,No
ALSPAC,wave1m,covid1m_2072,a6a8: Participant had sore eyes in Nov: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2072,a6a8: Participant had sore eyes in Nov: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2072,a6a8: Participant had sore eyes in Nov: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2072,a6a8: Participant had sore eyes in Nov: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2072,a6a8: Participant had sore eyes in Nov: COVID1,-5,Checked no boxes in a6a8
ALSPAC,wave1m,covid1m_2072,a6a8: Participant had sore eyes in Nov: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2072,a6a8: Participant had sore eyes in Nov: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2072,a6a8: Participant had sore eyes in Nov: COVID1,2,No
ALSPAC,wave1m,covid1m_2073,a6a8:  Participant had sore eyes in Dec: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2073,a6a8:  Participant had sore eyes in Dec: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2073,a6a8:  Participant had sore eyes in Dec: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2073,a6a8:  Participant had sore eyes in Dec: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2073,a6a8:  Participant had sore eyes in Dec: COVID1,-5,Checked no boxes in a6a8
ALSPAC,wave1m,covid1m_2073,a6a8:  Participant had sore eyes in Dec: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2073,a6a8:  Participant had sore eyes in Dec: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2073,a6a8:  Participant had sore eyes in Dec: COVID1,2,No
ALSPAC,wave1m,covid1m_2074,a6a8:  Participant had sore eyes in Jan: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2074,a6a8:  Participant had sore eyes in Jan: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2074,a6a8:  Participant had sore eyes in Jan: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2074,a6a8:  Participant had sore eyes in Jan: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2074,a6a8:  Participant had sore eyes in Jan: COVID1,-5,Checked no boxes in a6a8
ALSPAC,wave1m,covid1m_2074,a6a8:  Participant had sore eyes in Jan: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2074,a6a8:  Participant had sore eyes in Jan: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2074,a6a8:  Participant had sore eyes in Jan: COVID1,2,No
ALSPAC,wave1m,covid1m_2075,a6a8:  Participant had sore eyes in Feb: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2075,a6a8:  Participant had sore eyes in Feb: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2075,a6a8:  Participant had sore eyes in Feb: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2075,a6a8:  Participant had sore eyes in Feb: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2075,a6a8:  Participant had sore eyes in Feb: COVID1,-5,Checked no boxes in a6a8
ALSPAC,wave1m,covid1m_2075,a6a8:  Participant had sore eyes in Feb: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2075,a6a8:  Participant had sore eyes in Feb: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2075,a6a8:  Participant had sore eyes in Feb: COVID1,2,No
ALSPAC,wave1m,covid1m_2076,a6a8:  Participant had sore eyes in Mar: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2076,a6a8:  Participant had sore eyes in Mar: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2076,a6a8:  Participant had sore eyes in Mar: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2076,a6a8:  Participant had sore eyes in Mar: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2076,a6a8:  Participant had sore eyes in Mar: COVID1,-5,Checked no boxes in a6a8
ALSPAC,wave1m,covid1m_2076,a6a8:  Participant had sore eyes in Mar: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2076,a6a8:  Participant had sore eyes in Mar: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2076,a6a8:  Participant had sore eyes in Mar: COVID1,2,No
ALSPAC,wave1m,covid1m_2077,a6a8:  Participant had sore eyes in Apr: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2077,a6a8:  Participant had sore eyes in Apr: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2077,a6a8:  Participant had sore eyes in Apr: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2077,a6a8:  Participant had sore eyes in Apr: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2077,a6a8:  Participant had sore eyes in Apr: COVID1,-5,Checked no boxes in a6a8
ALSPAC,wave1m,covid1m_2077,a6a8:  Participant had sore eyes in Apr: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2077,a6a8:  Participant had sore eyes in Apr: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2077,a6a8:  Participant had sore eyes in Apr: COVID1,2,No
ALSPAC,wave1m,covid1m_2078,a6a8:  Participant had sore eyes in last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2078,a6a8:  Participant had sore eyes in last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2078,a6a8:  Participant had sore eyes in last week: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2078,a6a8:  Participant had sore eyes in last week: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2078,a6a8:  Participant had sore eyes in last week: COVID1,-5,Checked no boxes in a6a8
ALSPAC,wave1m,covid1m_2078,a6a8:  Participant had sore eyes in last week: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2078,a6a8:  Participant had sore eyes in last week: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2078,a6a8:  Participant had sore eyes in last week: COVID1,2,No
ALSPAC,wave1m,covid1m_2080,a6a9: Participant ever had loss of sense of smell or taste since Oct: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2080,a6a9: Participant ever had loss of sense of smell or taste since Oct: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2080,a6a9: Participant ever had loss of sense of smell or taste since Oct: COVID1,-10,Did not complete Q
