variable_name,variable_label,value_value,value_label
a26_19,"26. In the past week, have any of the following aspects of your life changed? - Amount of vegetables you eat",2,Stayed the same
a26_19,"26. In the past week, have any of the following aspects of your life changed? - Amount of vegetables you eat",3,Increased
a26_19,"26. In the past week, have any of the following aspects of your life changed? - Amount of vegetables you eat",999903,Not applicable
a26_19,"26. In the past week, have any of the following aspects of your life changed? - Amount of vegetables you eat",999906,Question seen but not answered
a26_20,"26. In the past week, have any of the following aspects of your life changed? - Amount of meat- based food you eat",1,Decreased
a26_20,"26. In the past week, have any of the following aspects of your life changed? - Amount of meat- based food you eat",2,Stayed the same
a26_20,"26. In the past week, have any of the following aspects of your life changed? - Amount of meat- based food you eat",3,Increased
a26_20,"26. In the past week, have any of the following aspects of your life changed? - Amount of meat- based food you eat",999903,Not applicable
a26_20,"26. In the past week, have any of the following aspects of your life changed? - Amount of meat- based food you eat",999906,Question seen but not answered
a26_21,"26. In the past week, have any of the following aspects of your life changed? - Number of savoury snacks and confectionery you eat",1,Decreased
a26_21,"26. In the past week, have any of the following aspects of your life changed? - Number of savoury snacks and confectionery you eat",2,Stayed the same
a26_21,"26. In the past week, have any of the following aspects of your life changed? - Number of savoury snacks and confectionery you eat",3,Increased
a26_21,"26. In the past week, have any of the following aspects of your life changed? - Number of savoury snacks and confectionery you eat",999903,Not applicable
a26_21,"26. In the past week, have any of the following aspects of your life changed? - Number of savoury snacks and confectionery you eat",999906,Question seen but not answered
a26_22,"26. In the past week, have any of the following aspects of your life changed? - Amount of other fast food you eat",1,Decreased
a26_22,"26. In the past week, have any of the following aspects of your life changed? - Amount of other fast food you eat",2,Stayed the same
a26_22,"26. In the past week, have any of the following aspects of your life changed? - Amount of other fast food you eat",3,Increased
a26_22,"26. In the past week, have any of the following aspects of your life changed? - Amount of other fast food you eat",999903,Not applicable
a26_22,"26. In the past week, have any of the following aspects of your life changed? - Amount of other fast food you eat",999906,Question seen but not answered
a26_23,"26. In the past week, have any of the following aspects of your life changed? - Amount of sugar sweetened drinks (including tea) you drink",1,Decreased
a26_23,"26. In the past week, have any of the following aspects of your life changed? - Amount of sugar sweetened drinks (including tea) you drink",2,Stayed the same
a26_23,"26. In the past week, have any of the following aspects of your life changed? - Amount of sugar sweetened drinks (including tea) you drink",3,Increased
a26_23,"26. In the past week, have any of the following aspects of your life changed? - Amount of sugar sweetened drinks (including tea) you drink",999903,Not applicable
a26_23,"26. In the past week, have any of the following aspects of your life changed? - Amount of sugar sweetened drinks (including tea) you drink",999906,Question seen but not answered
a26_24,"26. In the past week, have any of the following aspects of your life changed? - Amount of money you've spent",1,Decreased
a26_24,"26. In the past week, have any of the following aspects of your life changed? - Amount of money you've spent",2,Stayed the same
a26_24,"26. In the past week, have any of the following aspects of your life changed? - Amount of money you've spent",3,Increased
a26_24,"26. In the past week, have any of the following aspects of your life changed? - Amount of money you've spent",999903,Not applicable
a26_24,"26. In the past week, have any of the following aspects of your life changed? - Amount of money you've spent",999906,Question seen but not answered
a26_25,"26. In the past week, have any of the following aspects of your life changed? - Time spent online gaming",1,Decreased
a26_25,"26. In the past week, have any of the following aspects of your life changed? - Time spent online gaming",2,Stayed the same
a26_25,"26. In the past week, have any of the following aspects of your life changed? - Time spent online gaming",3,Increased
a26_25,"26. In the past week, have any of the following aspects of your life changed? - Time spent online gaming",999903,Not applicable
a26_25,"26. In the past week, have any of the following aspects of your life changed? - Time spent online gaming",999906,Question seen but not answered
a26_26,"26. In the past week, have any of the following aspects of your life changed? - Reading or listening to books for pleasure",1,Decreased
a26_26,"26. In the past week, have any of the following aspects of your life changed? - Reading or listening to books for pleasure",2,Stayed the same
a26_26,"26. In the past week, have any of the following aspects of your life changed? - Reading or listening to books for pleasure",3,Increased
a26_26,"26. In the past week, have any of the following aspects of your life changed? - Reading or listening to books for pleasure",999903,Not applicable
a26_26,"26. In the past week, have any of the following aspects of your life changed? - Reading or listening to books for pleasure",999906,Question seen but not answered
a26_27,"26. In the past week, have any of the following aspects of your life changed? - Watching/ listening to TV, movies, radio, podcasts, music, relaxation tapes",1,Decreased
a26_27,"26. In the past week, have any of the following aspects of your life changed? - Watching/ listening to TV, movies, radio, podcasts, music, relaxation tapes",2,Stayed the same
a26_27,"26. In the past week, have any of the following aspects of your life changed? - Watching/ listening to TV, movies, radio, podcasts, music, relaxation tapes",3,Increased
a26_27,"26. In the past week, have any of the following aspects of your life changed? - Watching/ listening to TV, movies, radio, podcasts, music, relaxation tapes",999903,Not applicable
a26_27,"26. In the past week, have any of the following aspects of your life changed? - Watching/ listening to TV, movies, radio, podcasts, music, relaxation tapes",999906,Question seen but not answered
a26_28,"26. In the past week, have any of the following aspects of your life changed? - Using self-help resources and strategies",1,Decreased
a26_28,"26. In the past week, have any of the following aspects of your life changed? - Using self-help resources and strategies",2,Stayed the same
a26_28,"26. In the past week, have any of the following aspects of your life changed? - Using self-help resources and strategies",3,Increased
a26_28,"26. In the past week, have any of the following aspects of your life changed? - Using self-help resources and strategies",999903,Not applicable
a26_28,"26. In the past week, have any of the following aspects of your life changed? - Using self-help resources and strategies",999906,Question seen but not answered
a26_29,"26. In the past week, have any of the following aspects of your life changed? - Household chores (cooking, cleaning, ironing tidying, online shopping etc)",1,Decreased
a26_29,"26. In the past week, have any of the following aspects of your life changed? - Household chores (cooking, cleaning, ironing tidying, online shopping etc)",2,Stayed the same
a26_29,"26. In the past week, have any of the following aspects of your life changed? - Household chores (cooking, cleaning, ironing tidying, online shopping etc)",3,Increased
a26_29,"26. In the past week, have any of the following aspects of your life changed? - Household chores (cooking, cleaning, ironing tidying, online shopping etc)",999903,Not applicable
a26_29,"26. In the past week, have any of the following aspects of your life changed? - Household chores (cooking, cleaning, ironing tidying, online shopping etc)",999906,Question seen but not answered
a26_30,"26. In the past week, have any of the following aspects of your life changed? - Doing DIY, woodwork, metal work, model making or similar",1,Decreased
a26_30,"26. In the past week, have any of the following aspects of your life changed? - Doing DIY, woodwork, metal work, model making or similar",2,Stayed the same
a26_30,"26. In the past week, have any of the following aspects of your life changed? - Doing DIY, woodwork, metal work, model making or similar",3,Increased
a26_30,"26. In the past week, have any of the following aspects of your life changed? - Doing DIY, woodwork, metal work, model making or similar",999903,Not applicable
a26_30,"26. In the past week, have any of the following aspects of your life changed? - Doing DIY, woodwork, metal work, model making or similar",999906,Question seen but not answered
a27,"27. Before current guidance to 'stay at home' (before 23rd March in the UK), on average how many days a week would you leave the house/garden?",1,3 or less days
a27,"27. Before current guidance to 'stay at home' (before 23rd March in the UK), on average how many days a week would you leave the house/garden?",2,4-6 days
a27,"27. Before current guidance to 'stay at home' (before 23rd March in the UK), on average how many days a week would you leave the house/garden?",3,Everday
a27,"27. Before current guidance to 'stay at home' (before 23rd March in the UK), on average how many days a week would you leave the house/garden?",999906,Question seen but not answered
a28,"28. Since current guidance to 'stay at home' (before 23rd March in the UK), on average how many days a week would you leave the house/garden?",0,Never
a28,"28. Since current guidance to 'stay at home' (before 23rd March in the UK), on average how many days a week would you leave the house/garden?",1,1-3 days
a28,"28. Since current guidance to 'stay at home' (before 23rd March in the UK), on average how many days a week would you leave the house/garden?",2,4-6 days
a28,"28. Since current guidance to 'stay at home' (before 23rd March in the UK), on average how many days a week would you leave the house/garden?",3,Everyday
a28,"28. Since current guidance to 'stay at home' (before 23rd March in the UK), on average how many days a week would you leave the house/garden?",999906,Question seen but not answered
a29,"29. Do you have access to internet, either through broadband or mobile data?",0,No
a29,"29. Do you have access to internet, either through broadband or mobile data?",1,Yes
a29,"29. Do you have access to internet, either through broadband or mobile data?",999906,Question seen but not answered
a30,30. What devices do you have access to? Tick all that apply,1,Iphone/ Other smartphone  
a30,30. What devices do you have access to? Tick all that apply,2,Ipad/ Tablet device  
a30,30. What devices do you have access to? Tick all that apply,3,Laptop/ Desktop computer  
a30,30. What devices do you have access to? Tick all that apply,4,Other
a30,30. What devices do you have access to? Tick all that apply,999906,Question seen but not answered
a30,30. What devices do you have access to? Tick all that apply,999911,Question is skipped legitimately
a31,31. How many people do you know who you would feel comfortable asking for help if/ when you are unable to leave the house due to COVID-19?,0,0
a31,31. How many people do you know who you would feel comfortable asking for help if/ when you are unable to leave the house due to COVID-19?,1,01-Mar
a31,31. How many people do you know who you would feel comfortable asking for help if/ when you are unable to leave the house due to COVID-19?,2,04-Jun
a31,31. How many people do you know who you would feel comfortable asking for help if/ when you are unable to leave the house due to COVID-19?,3,07-Sep
a31,31. How many people do you know who you would feel comfortable asking for help if/ when you are unable to leave the house due to COVID-19?,4,10+
a31,31. How many people do you know who you would feel comfortable asking for help if/ when you are unable to leave the house due to COVID-19?,999906,Question seen but not answered
a32,"32. In the last week, how frequently have you been in contact with your twin (this can be in any form, e.g. via email, phone text message etc.)",0,Not at all
a32,"32. In the last week, how frequently have you been in contact with your twin (this can be in any form, e.g. via email, phone text message etc.)",1,Once or twice a week
a32,"32. In the last week, how frequently have you been in contact with your twin (this can be in any form, e.g. via email, phone text message etc.)",2,Several times a week
a32,"32. In the last week, how frequently have you been in contact with your twin (this can be in any form, e.g. via email, phone text message etc.)",3,Once a day
a32,"32. In the last week, how frequently have you been in contact with your twin (this can be in any form, e.g. via email, phone text message etc.)",4,More than once a day
a32,"32. In the last week, how frequently have you been in contact with your twin (this can be in any form, e.g. via email, phone text message etc.)",999903,Not applicable
a32,"32. In the last week, how frequently have you been in contact with your twin (this can be in any form, e.g. via email, phone text message etc.)",999906,Question seen but not answered
a33,"33. Is this more, less or about the same as usual?",1,More than usual
a33,"33. Is this more, less or about the same as usual?",2,About the same
a33,"33. Is this more, less or about the same as usual?",3,Less that usual
a33,"33. Is this more, less or about the same as usual?",999906,Question seen but not answered
b34_1,34. Are you currently responsible for the care or support of any of the following INSIDE the home? - Elderly relatives or friends,0,No
b34_1,34. Are you currently responsible for the care or support of any of the following INSIDE the home? - Elderly relatives or friends,1,Yes
b34_1,34. Are you currently responsible for the care or support of any of the following INSIDE the home? - Elderly relatives or friends,999906,Question seen but not answered
b34_2,34. Are you currently responsible for the care or support of any of the following INSIDE the home? - People with long-term conditions or disabilities,0,No
b34_2,34. Are you currently responsible for the care or support of any of the following INSIDE the home? - People with long-term conditions or disabilities,1,Yes
b34_2,34. Are you currently responsible for the care or support of any of the following INSIDE the home? - People with long-term conditions or disabilities,999906,Question seen but not answered
b34_3,34. Are you currently responsible for the care or support of any of the following INSIDE the home? - Grandchildren,0,No
b34_3,34. Are you currently responsible for the care or support of any of the following INSIDE the home? - Grandchildren,1,Yes
b34_3,34. Are you currently responsible for the care or support of any of the following INSIDE the home? - Grandchildren,999906,Question seen but not answered
b34_4,34. Are you currently responsible for the care or support of any of the following INSIDE the home? - Children (under 18),0,No
b34_4,34. Are you currently responsible for the care or support of any of the following INSIDE the home? - Children (under 18),1,Yes
b34_4,34. Are you currently responsible for the care or support of any of the following INSIDE the home? - Children (under 18),999906,Question seen but not answered
b35_1,35. Are you currently responsible for the care or support of any of the following OUTSIDE the home? - Elderly relatives or friends,0,No
b35_1,35. Are you currently responsible for the care or support of any of the following OUTSIDE the home? - Elderly relatives or friends,1,Yes
b35_1,35. Are you currently responsible for the care or support of any of the following OUTSIDE the home? - Elderly relatives or friends,999906,Question seen but not answered
b35_2,35. Are you currently responsible for the care or support of any of the following OUTSIDE the home? - People with long-term conditions or disabilities,0,No
b35_2,35. Are you currently responsible for the care or support of any of the following OUTSIDE the home? - People with long-term conditions or disabilities,1,Yes
b35_2,35. Are you currently responsible for the care or support of any of the following OUTSIDE the home? - People with long-term conditions or disabilities,999906,Question seen but not answered
b35_3,35. Are you currently responsible for the care or support of any of the following OUTSIDE the home? - Grandchildren,0,No
b35_3,35. Are you currently responsible for the care or support of any of the following OUTSIDE the home? - Grandchildren,1,Yes
b35_3,35. Are you currently responsible for the care or support of any of the following OUTSIDE the home? - Grandchildren,999906,Question seen but not answered
b35_4,35. Are you currently responsible for the care or support of any of the following OUTSIDE the home? - Children (under 18),0,No
b35_4,35. Are you currently responsible for the care or support of any of the following OUTSIDE the home? - Children (under 18),1,Yes
b35_4,35. Are you currently responsible for the care or support of any of the following OUTSIDE the home? - Children (under 18),999906,Question seen but not answered
b36,36. Do you have any pets?,0,No
b36,36. Do you have any pets?,1,Yes
b36,36. Do you have any pets?,999906,Question seen but not answered
b37,37. Do you have any of the following pets?,1,Cat
b37,37. Do you have any of the following pets?,2,Dog
b37,37. Do you have any of the following pets?,3,Bird
b37,37. Do you have any of the following pets?,4,Fish
b37,37. Do you have any of the following pets?,5,Other
b37,37. Do you have any of the following pets?,999906,Question seen but not answered
b37,37. Do you have any of the following pets?,999911,Question is skipped legitimately
b38,38. How many of your friends would you say you have a close relationship with? - Close friends,0,0
b38,38. How many of your friends would you say you have a close relationship with? - Close friends,1,1
b38,38. How many of your friends would you say you have a close relationship with? - Close friends,2,2
b38,38. How many of your friends would you say you have a close relationship with? - Close friends,3,3
b38,38. How many of your friends would you say you have a close relationship with? - Close friends,4,4
b38,38. How many of your friends would you say you have a close relationship with? - Close friends,5,5
b38,38. How many of your friends would you say you have a close relationship with? - Close friends,6,6
b38,38. How many of your friends would you say you have a close relationship with? - Close friends,7,7
b38,38. How many of your friends would you say you have a close relationship with? - Close friends,8,8
b38,38. How many of your friends would you say you have a close relationship with? - Close friends,9,9
b38,38. How many of your friends would you say you have a close relationship with? - Close friends,10,10+
b38,38. How many of your friends would you say you have a close relationship with? - Close friends,999906,Question seen but not answered
b39_1,39. Have you given help to someone who you haven't helped before during COVID-19?,0,No
b39_1,39. Have you given help to someone who you haven't helped before during COVID-19?,1,"Yes, and I am being paid to do so"
b39_1,39. Have you given help to someone who you haven't helped before during COVID-19?,2,"Yes, and I am not being paid to do so"
b39_1,39. Have you given help to someone who you haven't helped before during COVID-19?,999906,Question seen but not answered
b39_2,39b. Have you received help that you woudln't normally receive during COVID-19?,0,No
b39_2,39b. Have you received help that you woudln't normally receive during COVID-19?,1,"Yes, paid help"
b39_2,39b. Have you received help that you woudln't normally receive during COVID-19?,2,"Yes, unpaid help"
b39_2,39b. Have you received help that you woudln't normally receive during COVID-19?,999906,Question seen but not answered
b40,"40. Usually in your life, how often do you meet up with people face to face socially, not for work?",1,Less than once a month
b40,"40. Usually in your life, how often do you meet up with people face to face socially, not for work?",2,Once of twice a month
b40,"40. Usually in your life, how often do you meet up with people face to face socially, not for work?",3,Once or twice a week
b40,"40. Usually in your life, how often do you meet up with people face to face socially, not for work?",4,Three or more times a week
b40,"40. Usually in your life, how often do you meet up with people face to face socially, not for work?",5,Everyday
b40,"40. Usually in your life, how often do you meet up with people face to face socially, not for work?",999906,Question seen but not answered
b41_1,"41. Are you a member of any of these organisations, clubs or societies? - Political party, trade union or environmental groups",0,No
b41_1,"41. Are you a member of any of these organisations, clubs or societies? - Political party, trade union or environmental groups",1,Yes
b41_1,"41. Are you a member of any of these organisations, clubs or societies? - Political party, trade union or environmental groups",999906,Question seen but not answered
b41_2,"41. Are you a member of any of these organisations, clubs or societies? - Tenants groups, resident groups, Neighbourhood Watch",0,No
b41_2,"41. Are you a member of any of these organisations, clubs or societies? - Tenants groups, resident groups, Neighbourhood Watch",1,Yes
b41_2,"41. Are you a member of any of these organisations, clubs or societies? - Tenants groups, resident groups, Neighbourhood Watch",999906,Question seen but not answered
b41_3,"41. Are you a member of any of these organisations, clubs or societies? - Church or other religious groups",0,No
b41_3,"41. Are you a member of any of these organisations, clubs or societies? - Church or other religious groups",1,Yes
b41_3,"41. Are you a member of any of these organisations, clubs or societies? - Church or other religious groups",999906,Question seen but not answered
b41_4,"41. Are you a member of any of these organisations, clubs or societies? - Charitable associations",0,No
b41_4,"41. Are you a member of any of these organisations, clubs or societies? - Charitable associations",1,Yes
b41_4,"41. Are you a member of any of these organisations, clubs or societies? - Charitable associations",999906,Question seen but not answered
b41_5,"41. Are you a member of any of these organisations, clubs or societies? - Education, arts or music groups or evening classes",0,No
b41_5,"41. Are you a member of any of these organisations, clubs or societies? - Education, arts or music groups or evening classes",1,Yes
b41_5,"41. Are you a member of any of these organisations, clubs or societies? - Education, arts or music groups or evening classes",999906,Question seen but not answered
b41_6,"41. Are you a member of any of these organisations, clubs or societies? - Social Clubs",0,No
b41_6,"41. Are you a member of any of these organisations, clubs or societies? - Social Clubs",1,Yes
b41_6,"41. Are you a member of any of these organisations, clubs or societies? - Social Clubs",999906,Question seen but not answered
b41_7,"41. Are you a member of any of these organisations, clubs or societies? - Sports clubs, gyms, exercise classes",0,No
b41_7,"41. Are you a member of any of these organisations, clubs or societies? - Sports clubs, gyms, exercise classes",1,Yes
b41_7,"41. Are you a member of any of these organisations, clubs or societies? - Sports clubs, gyms, exercise classes",999906,Question seen but not answered
b41_8,"41. Are you a member of any of these organisations, clubs or societies? - Any other organisations, clubs or societies",0,No
b41_8,"41. Are you a member of any of these organisations, clubs or societies? - Any other organisations, clubs or societies",1,Yes
b41_8,"41. Are you a member of any of these organisations, clubs or societies? - Any other organisations, clubs or societies",999906,Question seen but not answered
b42,"42. Thinking about all the organisations, clubs or societies that you are a member of, how many committee meetings, if any, do you attend in a year?",999906,Question seen but not answered
b42,"42. Thinking about all the organisations, clubs or societies that you are a member of, how many committee meetings, if any, do you attend in a year?",0-938,Number of committee meeting attended in a year 
c43,43. I feel tense or 'wound up',0,Not at all
c43,43. I feel tense or 'wound up',1,"From time to time, occasionally"
c43,43. I feel tense or 'wound up',2,A lot of the time
c43,43. I feel tense or 'wound up',3,Most of the time
c43,43. I feel tense or 'wound up',999906,Question seen but not answered
c44,44. I still enjoy the things I used to enjoy,0,Definitely as much
c44,44. I still enjoy the things I used to enjoy,1,Not quite so much
c44,44. I still enjoy the things I used to enjoy,2,Only a little
c44,44. I still enjoy the things I used to enjoy,3,Hardly at all
c44,44. I still enjoy the things I used to enjoy,999906,Question seen but not answered
c45,45. I get a sort of frightened feeling as if something awful is about to happen,0,Hardly at all
c45,45. I get a sort of frightened feeling as if something awful is about to happen,1,"A little, but it doesn't worry me"
c45,45. I get a sort of frightened feeling as if something awful is about to happen,2,"Yes, but not too badly"
c45,45. I get a sort of frightened feeling as if something awful is about to happen,3,Very definitely and quite badly
c45,45. I get a sort of frightened feeling as if something awful is about to happen,999906,Question seen but not answered
c46,46. I can laugh and see the funny side of things,3,Not at all
c46,46. I can laugh and see the funny side of things,2,Definitely not so much now
c46,46. I can laugh and see the funny side of things,1,Not quite so much now
c46,46. I can laugh and see the funny side of things,0,As much as I always could
c46,46. I can laugh and see the funny side of things,999906,Question seen but not answered
c47,47. Worrying thoughts go through my mind,0,Only occasionally
c47,47. Worrying thoughts go through my mind,1,"From time to time, but not often"
c47,47. Worrying thoughts go through my mind,2,A lot of the time
c47,47. Worrying thoughts go through my mind,3,A great deal of the time
c47,47. Worrying thoughts go through my mind,999906,Question seen but not answered
c48,48. I feel cheerful,3,Not at all
c48,48. I feel cheerful,2,Not often
c48,48. I feel cheerful,1,Sometimes
c48,48. I feel cheerful,0,Most of the time
c48,48. I feel cheerful,999906,Question seen but not answered
c49,49. I can sit at ease and feel relaxed,3,Not at all
c49,49. I can sit at ease and feel relaxed,2,Not often
c49,49. I can sit at ease and feel relaxed,1,Sometimes
c49,49. I can sit at ease and feel relaxed,0,Often
c49,49. I can sit at ease and feel relaxed,999906,Question seen but not answered
c50,50. I feel as if I am slowed down,0,Not at all
c50,50. I feel as if I am slowed down,1,Sometimes
c50,50. I feel as if I am slowed down,2,Very often
c50,50. I feel as if I am slowed down,3,Nearly all the time
c50,50. I feel as if I am slowed down,999906,Question seen but not answered
c51,51. I get a sort of frightened feeling like 'butterflies' in the stomach,0,Hardly at all
c51,51. I get a sort of frightened feeling like 'butterflies' in the stomach,1,Occasionally
c51,51. I get a sort of frightened feeling like 'butterflies' in the stomach,2,Quite often
c51,51. I get a sort of frightened feeling like 'butterflies' in the stomach,3,Very often
c51,51. I get a sort of frightened feeling like 'butterflies' in the stomach,999906,Question seen but not answered
c52,52. I have lost interest in my appearance,0,I take just as much care as ever
c52,52. I have lost interest in my appearance,1,I may not take quite as much care
c52,52. I have lost interest in my appearance,2,I don't take as much care as I should
c52,52. I have lost interest in my appearance,3,Definitely
c52,52. I have lost interest in my appearance,999906,Question seen but not answered
c53,53. I feel restless as if I have to be on the move,0,Not at all
c53,53. I feel restless as if I have to be on the move,1,Not very much
c53,53. I feel restless as if I have to be on the move,2,Quite a lot
c53,53. I feel restless as if I have to be on the move,3,Very much indeed
c53,53. I feel restless as if I have to be on the move,999906,Question seen but not answered
c54,54. I look forward with enjoyment to things,3,Hardly at all
c54,54. I look forward with enjoyment to things,2,Definitley less than I used to
c54,54. I look forward with enjoyment to things,1,Rather less than I used to
c54,54. I look forward with enjoyment to things,0,As much as I ever did
c54,54. I look forward with enjoyment to things,999906,Question seen but not answered
c55,55. I get sudden feelings of panic,0,Not at all
c55,55. I get sudden feelings of panic,1,Quite often
c55,55. I get sudden feelings of panic,2,Not very often
c55,55. I get sudden feelings of panic,3,Very often indeed
c55,55. I get sudden feelings of panic,999906,Question seen but not answered
c56,56. I can enjoy a good book or radio or TV program,3,Very seldom
c56,56. I can enjoy a good book or radio or TV program,2,Not often
c56,56. I can enjoy a good book or radio or TV program,1,Sometimes
c56,56. I can enjoy a good book or radio or TV program,0,Often
c56,56. I can enjoy a good book or radio or TV program,999906,Question seen but not answered
c57_1,57. How often do you feel like this NOW? - How often do you feel you lack companionship?,1,Hardly ever
c57_1,57. How often do you feel like this NOW? - How often do you feel you lack companionship?,2,Some of the time
c57_1,57. How often do you feel like this NOW? - How often do you feel you lack companionship?,3,Often
c57_1,57. How often do you feel like this NOW? - How often do you feel you lack companionship?,999906,Question seen but not answered
c57_2,57. How often do you feel like this NOW? - How often do you feel left out?,1,Hardly ever
c57_2,57. How often do you feel like this NOW? - How often do you feel left out?,2,Some of the time
c57_2,57. How often do you feel like this NOW? - How often do you feel left out?,3,Often
c57_2,57. How often do you feel like this NOW? - How often do you feel left out?,999906,Question seen but not answered
c57_3,57. How often do you feel like this NOW? - How often do you feel isolated from others?,1,Hardly ever
c57_3,57. How often do you feel like this NOW? - How often do you feel isolated from others?,2,Some of the time
c57_3,57. How often do you feel like this NOW? - How often do you feel isolated from others?,3,Often
c57_3,57. How often do you feel like this NOW? - How often do you feel isolated from others?,999906,Question seen but not answered
c57_4,57. How often do you feel like this NOW? - How often do you feel alone?,1,Hardly ever
c57_4,57. How often do you feel like this NOW? - How often do you feel alone?,2,Some of the time
c57_4,57. How often do you feel like this NOW? - How often do you feel alone?,3,Often
c57_4,57. How often do you feel like this NOW? - How often do you feel alone?,999906,Question seen but not answered
c58_1,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel you lack companionship?,1,Hardly ever
c58_1,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel you lack companionship?,2,Some of the time
c58_1,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel you lack companionship?,3,Often
c58_1,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel you lack companionship?,999906,Question seen but not answered
c58_2,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel left out?,1,Hardly ever
c58_2,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel left out?,2,Some of the time
c58_2,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel left out?,3,Often
c58_2,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel left out?,999906,Question seen but not answered
c58_3,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel isolated from others?,1,Hardly ever
c58_3,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel isolated from others?,2,Some of the time
c58_3,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel isolated from others?,3,Often
c58_3,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel isolated from others?,999906,Question seen but not answered
c58_4,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel alone?,1,Hardly ever
c58_4,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel alone?,2,Some of the time
c58_4,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel alone?,3,Often
c58_4,58. How often you felt like this BEFORE the COVID-19 pandemic? - How often do you feel alone?,999906,Question seen but not answered
c59_1,59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Little interest or pleasure in doing things,0,Not at all
c59_1,59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Little interest or pleasure in doing things,1,Several days
c59_1,59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Little interest or pleasure in doing things,2,More than half the days
c59_1,59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Little interest or pleasure in doing things,3,Nearly everyday
c59_1,59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Little interest or pleasure in doing things,999906,Question seen but not answered
c59_2,"59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Feeling down, depressed or hopeless",0,Not at all
c59_2,"59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Feeling down, depressed or hopeless",1,Several days
c59_2,"59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Feeling down, depressed or hopeless",2,More than half the days
c59_2,"59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Feeling down, depressed or hopeless",3,Nearly everyday
c59_2,"59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Feeling down, depressed or hopeless",999906,Question seen but not answered
c59_3,"59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Feeling nervous, anxious or on edge",0,Not at all
c59_3,"59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Feeling nervous, anxious or on edge",1,Several days
c59_3,"59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Feeling nervous, anxious or on edge",2,More than half the days
c59_3,"59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Feeling nervous, anxious or on edge",3,Nearly everyday
c59_3,"59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Feeling nervous, anxious or on edge",999906,Question seen but not answered
c59_4,59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Not being able to stop or control worrying,0,Not at all
c59_4,59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Not being able to stop or control worrying,1,Several days
c59_4,59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Not being able to stop or control worrying,2,More than half the days
c59_4,59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Not being able to stop or control worrying,3,Nearly everyday
c59_4,59. Over the last 2 weeks HOW OFTEN have you been bothered by the following problems? - Not being able to stop or control worrying,999906,Question seen but not answered
c60_1,"60. For the next set of statements, please respond to each item by indicating the extent you agree with the statement. - I tend to bounce back quickly after hard times",1,Strongly Disagree
c60_1,"60. For the next set of statements, please respond to each item by indicating the extent you agree with the statement. - I tend to bounce back quickly after hard times",2,Disagree
c60_1,"60. For the next set of statements, please respond to each item by indicating the extent you agree with the statement. - I tend to bounce back quickly after hard times",3,Neutral
c60_1,"60. For the next set of statements, please respond to each item by indicating the extent you agree with the statement. - I tend to bounce back quickly after hard times",4,Agree
c60_1,"60. For the next set of statements, please respond to each item by indicating the extent you agree with the statement. - I tend to bounce back quickly after hard times",5,Strongly Agree
c60_1,"60. For the next set of statements, please respond to each item by indicating the extent you agree with the statement. - I tend to bounce back quickly after hard times",999906,Question seen but not answered
c60_2,"60. For the next set of statements, please respond to each item by indicating the extent you agree with the statement. - I have a hard time making it through stressful events",1,Strongly Disagree
c60_2,"60. For the next set of statements, please respond to each item by indicating the extent you agree with the statement. - I have a hard time making it through stressful events",2,Disagree
