Variable no,Variable Description
covid1m_4066,DV: Total score - Moods and feelings Q: dichotomised at 12: COVID1
covid1m_4067,DV: Number of missing questions - Moods and feelings Q: COVID1
covid1m_4070,c3a: In past two weeks how often pp felt nervous/anxious/on edge: COVID1
covid1m_4071,c3b: In past two weeks how often pp not able to stop or control worrying: COVID1
covid1m_4072,c3c: In past two weeks how often pp worrying too much about things: COVID1
covid1m_4073,c3d:  In past two weeks how often participant  had trouble relaxing : COVID1
covid1m_4074,c3e: In past two weeks how often pp so restless was hard to sit still: COVID1
covid1m_4075,c3f:  In past two weeks how often pp became easily annoyed or irritable: COVID1
covid1m_4076,c3g: In past 2wks freq pp felt afraid as if something awful might happen: COVID1
covid1m_4080,DV: Total score - GAD7: COVID1
covid1m_4081,DV: Total score - GAD7: categories of anxiety: COVID1
covid1m_4082,DV: Number of missing questions - GAD7: COVID1
covid1m_4100,c4a: In past two weeks how often pp felt optimistic about the future: COVID1
covid1m_4101,c4b: In past two weeks how often participant felt useful: COVID1
covid1m_4102,c4c: In past two weeks how often participant felt relaxed: COVID1
covid1m_4103,c4d: In past two weeks how often pp felt interested in other people: COVID1
covid1m_4104,c4e: In past two weeks how often participant has had energy to spare: COVID1
covid1m_4105,c4f: In past two weeks how often pp has dealt with problems well: COVID1
covid1m_4106,c4g: In past two weeks how often participant has been thinking clearly: COVID1
covid1m_4107,c4h: In past two weeks how often pp has felt good about themselves: COVID1
covid1m_4108,c4i: In past two weeks how often pp has felt close to other people: COVID1
covid1m_4109,c4j: In past two weeks how often participant has felt confident: COVID1
covid1m_4110,c4k: In past 2wks how often pp able to make up mind about things: COVID1
covid1m_4111,c4l: In past two weeks how often participant has felt loved: COVID1
covid1m_4112,c4m: In past two weeks how often pp been interested in new things: COVID1
covid1m_4113,c4n: In past two weeks how often participant has felt cheerful: COVID1
covid1m_4120,DV: Total score - Warwick Edinburgh Mental wellbeing Scale: COVID1
covid1m_4121,DV: Total score -  WEMWBS: Dichotomised for low mental wellbeing: COVID1
covid1m_4122,DV: Total score -  WEMWBS: Categories of depression: COVID1
covid1m_4123,DV: Number of missing questions - WEMWBS: COVID1
covid1m_5000,d1: Did pp find the official guidance on COVID-19 easy to understand: COVID1
covid1m_5001,d2: Participant rating of knowledge about COVID-19: COVID1
covid1m_5002,d3: How reactive the pp felt the official guidance on COVID-19 was: COVID1
covid1m_5003,d4: How participant felt about the timing of the lockdown in the UK: COVID1
covid1m_5010,d5: Average time pp spent talking about COVID-19 in last 7 days: COVID1
covid1m_5011,d5b: Average time pp spent reading/hearing about COVID-19 news: COVID1
covid1m_5012,d5c: Average time pp spent reading about COVID-19 on social media: COVID1
covid1m_5015,d6a: Number of children aged 0-9 years participant lives with: COVID1
covid1m_5016,d6b: Number of children 10-17 years participant lives with: COVID1
covid1m_5017,d6c: Number of adults 18-59 years participant lives with: COVID1
covid1m_5018,d6d: Number of adults 60+ years participant lives with: COVID1
covid1m_5020,d7: Type of accommodation participant lives in: COVID1
covid1m_5025,d8: Participant has access to a garden: COVID1
covid1m_5030,d10: Someone pregnant in participant's household: COVID1
covid1m_5035,d11: Participant is a healthcare worker: COVID1
covid1m_5036,d11a: # patients with COVID-19 pp cared for/interacted in past 2 weeks: COVID1
covid1m_5037,DV: # COVID patients pp cared for/interacted in past 2 weeks (grouped): COVID1
covid1m_5040,d11b: Participant lives with a healthcare worker: COVID1
covid1m_5041,d11c: Health worker cared for patients with COVID-19 in past 2 weeks: COVID1
covid1m_5045,d12: Participant is a keyworker; as defined by the government: COVID1
covid1m_5046,d12b: Participant lives with a keyworker: COVID1
covid1m_9620,Date Participant completed questionnaire: Day: COVID1
covid1m_9621,Date Participant completed questionnaire: Month: COVID1
covid1m_9622,Date Participant completed questionnaire: Year: COVID1
covid1m_9650,DV: Age in years on date Q completed: COVID1
covid1m_9651,DV: Age in months on date Q completed: COVID1
avail_from_dt,
study_id_e,
covid1yp_0001,Questionnaire sent to participant: COVID1
covid1yp_0002,Questionnaire completed by participant: COVID1
covid1yp_1001,a1b: Participant has diabetes (Type I or II): COVID1
covid1yp_1002,a1c: Participant has heart disease or heart problems: COVID1
covid1yp_1003,a1d: Participant has hypertension (high blood pressure): COVID1
covid1yp_1004,a1e: Participant is overweight: COVID1
covid1yp_1006,a1g: Participant has kidney disease: COVID1
covid1yp_1007,a1h: Participant has liver disease: COVID1
covid1yp_1008,a1i: Participant has anaemia : COVID1
covid1yp_1009,a1j: Participant has asthma: COVID1
covid1yp_1010,a1k: Participant has other lung condition: COVID1
covid1yp_1011,a1l: Participant has cancer: COVID1
covid1yp_1012,a1m: Participant has condition affecting the brain and nerves: COVID1
covid1yp_1013,a1n: Pp has weakened immune system/reduced ability to fight infections: COVID1
covid1yp_1014,a1o: Participant has depression: COVID1
covid1yp_1015,a1p: Participant has anxiety: COVID1
covid1yp_1016,a1q: Participant has a psychiatric disorder : COVID1
covid1yp_1050,a2a: Pp has health problems that requires them to limit activity: COVID1
covid1yp_1051,a2b: Participant needs someone to help them on a regular basis: COVID1
covid1yp_1052,a2c: Pp has a health problem that requires them to stay at home: COVID1
covid1yp_1053,a2d: Participant can count on someone close to them if they need help: COVID1
covid1yp_1054,a2e: Participant regularly uses a stick/walker/wheelchair to move about: COVID1
covid1yp_1100,a3: Participant currently takes regular medication: COVID1
covid1yp_1110,Med 1: Participant takes another medication: COVID1
covid1yp_1120,Med 2: Participant takes another medication: COVID1
covid1yp_1130,Med 3: Participant takes another medication: COVID1
covid1yp_1140,Med 4: Participant takes another medication: COVID1
covid1yp_1150,Med 5: Participant takes another medication: COVID1
covid1yp_1160,Med 6: Participant takes another medication: COVID1
covid1yp_1170,Med 7: Participant takes another medication: COVID1
covid1yp_1180,Med 8: Participant takes another medication: COVID1
covid1yp_1190,Med 9: Participant takes another medication: COVID1
covid1yp_1200,Med 10: Participant takes another medication: COVID1
covid1yp_1210,Med 11: Participant takes another medication: COVID1
covid1yp_1220,Med 12: Participant takes another medication: COVID1
covid1yp_1250,DV: Number of medications taken: COVID1
covid1yp_1300,a4: When not have a cold; usually brings up phlegm from lungs: COVID1
covid1yp_1500,a5: Participant lives overseas: COVID1
covid1yp_1510,a5: Participant has travelled outside their home country since Oct 2019: COVID1
covid1yp_1520,Trip 1: Participant has been anywhere else since 1/10/19: COVID1
covid1yp_1530,Trip 2: Participant has been anywhere else since 1/10/19: COVID1
covid1yp_1540,Trip 3: Participant has been anywhere else since 1/10/19: COVID1
covid1yp_1550,Trip 4: Participant has been anywhere else since 1/10/19: COVID1
covid1yp_1560,Trip 5: Participant has been anywhere else since 1/10/19: COVID1
covid1yp_1650,DV: Number of overseas trips taken: COVID1
covid1yp_2000,a6a1: Participant ever had a decrease in appetite since Oct: COVID1
covid1yp_2001,a6a1:  Participant had a decrease in appetite in Oct: COVID1
covid1yp_2002,a6a1: Participant had a decrease in appetite in Nov: COVID1
covid1yp_2003,a6a1:  Participant had a decrease in appetite in Dec: COVID1
covid1yp_2004,a6a1:  Participant had a decrease in appetite in Jan: COVID1
covid1yp_2005,a6a1:  Participant had a decrease in appetite in Feb: COVID1
covid1yp_2006,a6a1:  Participant had a decrease in appetite in Mar: COVID1
covid1yp_2007,a6a1:  Participant had a decrease in appetite in Apr: COVID1
covid1yp_2008,a6a1:  Participant had a decrease in appetite in last week: COVID1
covid1yp_2010,a6a2: Participant ever had nausea and/or vomiting since Oct: COVID1
covid1yp_2011,a6a2:  Participant had nausea and/or vomiting in Oct: COVID1
covid1yp_2012,a6a2:  Participant had nausea and/or vomiting in Nov: COVID1
covid1yp_2013,a6a2:  Participant had nausea and/or vomiting in Dec: COVID1
covid1yp_2014,a6a2:  Participant had nausea and/or vomiting in Jan: COVID1
covid1yp_2015,a6a2:  Participant had nausea and/or vomiting in Feb: COVID1
covid1yp_2016,a6a2:  Participant had nausea and/or vomiting in Mar: COVID1
covid1yp_2017,a6a2:  Participant had nausea and/or vomiting in Apr: COVID1
covid1yp_2018,a6a2:  Participant had nausea and/or vomiting in last week: COVID1
covid1yp_2020,a6a3: Participant ever had diarrhoea since Oct: COVID1
covid1yp_2021,a6a3:  Participant had diarrhoea in Oct: COVID1
covid1yp_2022,a6a3:  Participant had diarrhoea in Nov: COVID1
covid1yp_2023,a6a3:  Participant had diarrhoea in Dec: COVID1
covid1yp_2024,a6a3:  Participant had diarrhoea in Jan: COVID1
covid1yp_2025,a6a3:  Participant had diarrhoea in Feb: COVID1
covid1yp_2026,a6a3:  Participant had diarrhoea in Mar: COVID1
covid1yp_2027,a6a3:  Participant had diarrhoea in Apr: COVID1
covid1yp_2028,a6a3:  Participant had diarrhoea in last week: COVID1
covid1yp_2030,a6a4: Participant ever had abdominal pain/tummy ache since Oct: COVID1
covid1yp_2031,a6a4:  Participant had abdominal pain/tummy ache in Oct: COVID1
covid1yp_2032,a6a4:  Participant had abdominal pain/tummy ache in Nov: COVID1
covid1yp_2033,a6a4:  Participant had abdominal pain/tummy ache in Dec: COVID1
covid1yp_2034,a6a4:  Participant had abdominal pain/tummy ache in Jan: COVID1
covid1yp_2035,a6a4:  Participant had abdominal pain/tummy ache in Feb: COVID1
covid1yp_2036,a6a4:  Participant had abdominal pain/tummy ache in Mar: COVID1
covid1yp_2037,a6a4:  Participant had abdominal pain/tummy ache in Apr: COVID1
covid1yp_2038,a6a4:  Participant had abdominal pain/tummy ache in last week: COVID1
covid1yp_2040,a6a5: Participant ever had runny nose since Oct: COVID1
covid1yp_2041,a6a5:  Participant had runny nose in Oct: COVID1
covid1yp_2042,a6a5:  Participant had runny nose in Nov: COVID1
covid1yp_2043,a6a5:  Participant had runny nose in Dec: COVID1
covid1yp_2044,a6a5:  Participant had runny nose in Jan: COVID1
covid1yp_2045,a6a5:  Participant had runny nose in Feb: COVID1
covid1yp_2046,a6a5:  Participant had runny nose in Mar: COVID1
covid1yp_2047,a6a5:  Participant had runny nose in Apr: COVID1
covid1yp_2048,a6a5:  Participant had runny nose in last week: COVID1
covid1yp_2050,a6a6: Participant ever had sneezing since Oct: COVID1
covid1yp_2051,a6a6:  Participant had sneezing in Oct: COVID1
covid1yp_2052,a6a6:  Participant had sneezing in Nov: COVID1
covid1yp_2053,a6a6:  Participant had sneezing in Dec: COVID1
covid1yp_2054,a6a6:  Participant had sneezing in Jan: COVID1
covid1yp_2055,a6a6:  Participant had sneezing in Feb: COVID1
covid1yp_2056,a6a6:  Participant had sneezing in Mar: COVID1
covid1yp_2057,a6a6:  Participant had sneezing in Apr: COVID1
covid1yp_2058,a6a6:  Participant had sneezing in last week: COVID1
covid1yp_2060,a6a7: Participant ever had a blocked nose since Oct: COVID1
covid1yp_2061,a6a7:  Participant had a blocked nose in Oct: COVID1
covid1yp_2062,a6a7:  Participant had a blocked nose in Nov: COVID1
covid1yp_2063,a6a7:  Participant had a blocked nose in Dec: COVID1
covid1yp_2064,a6a7:  Participant had a blocked nose in Jan: COVID1
covid1yp_2065,a6a7:  Participant had a blocked nose in Feb': COVID1
covid1yp_2066,a6a7:  Participant had a blocked nose in Mar: COVID1
covid1yp_2067,a6a7:  Participant had a blocked nose in Apr: COVID1
covid1yp_2068,a6a7:  Participant had a blocked nose in last week: COVID1
covid1yp_2070,a6a8: Participant ever had sore eyes since Oct: COVID1
covid1yp_2071,a6a8:  Participant had sore eyes in Oct: COVID1
covid1yp_2072,a6a8: Participant had sore eyes in Nov: COVID1
covid1yp_2073,a6a8:  Participant had sore eyes in Dec: COVID1
covid1yp_2074,a6a8:  Participant had sore eyes in Jan: COVID1
covid1yp_2075,a6a8:  Participant had sore eyes in Feb: COVID1
covid1yp_2076,a6a8:  Participant had sore eyes in Mar: COVID1
covid1yp_2077,a6a8:  Participant had sore eyes in Apr: COVID1
covid1yp_2078,a6a8:  Participant had sore eyes in last week: COVID1
covid1yp_2080,a6a9: Participant ever had loss of sense of smell or taste since Oct: COVID1
covid1yp_2081,a6a9:  Participant had loss of sense of smell or taste in Oct: COVID1
covid1yp_2082,a6a9:  Participant had loss of sense of smell or taste in Nov: COVID1
covid1yp_2083,a6a9:  Participant had loss of sense of smell or taste in Dec: COVID1
covid1yp_2084,a6a9:  Participant had loss of sense of smell or taste in Jan: COVID1
covid1yp_2085,a6a9:  Participant had loss of sense of smell or taste in Feb: COVID1
covid1yp_2086,a6a9:  Participant had loss of sense of smell or taste in Mar: COVID1
covid1yp_2087,a6a9:  Participant had loss of sense of smell or taste in Apr: COVID1
covid1yp_2088,a6a9:  Participant had loss of sense of smell or taste in last week: COVID1
covid1yp_2090,a6a10: Participant ever had a sore throat since Oct: COVID1
covid1yp_2091,a6a10:  Participant had a sore throat in Oct: COVID1
covid1yp_2092,a6a10:  Participant had a sore throat in Nov: COVID1
covid1yp_2093,a6a10:  Participant had a sore throat in Dec: COVID1
covid1yp_2094,a6a10:  Participant had a sore throat in Jan: COVID1
covid1yp_2095,a6a10:  Participant had a sore throat in Feb: COVID1
covid1yp_2096,a6a10:  Participant had a sore throat in Mar: COVID1
covid1yp_2097,a6a10:  Participant had a sore throat in Apr: COVID1
covid1yp_2098,a6a10:  Participant had a sore throat in last week: COVID1
covid1yp_2100,a6a11: Participant ever had a hoarse voice since Oct: COVID1
covid1yp_2101,a6a11:  Participant had a hoarse voice in Oct: COVID1
covid1yp_2102,a6a11:  Participant had a hoarse voice in Nov: COVID1
covid1yp_2103,a6a11:  Participant had a hoarse voice in Dec: COVID1
covid1yp_2104,a6a11:  Participant had a hoarse voice in Jan: COVID1
covid1yp_2105,a6a11:  Participant had a hoarse voice in Feb: COVID1
covid1yp_2106,a6a11:  Participant had a hoarse voice in Mar: COVID1
covid1yp_2107,a6a11:  Participant had a hoarse voice in Apr: COVID1
covid1yp_2108,a6a11:  Participant had a hoarse voice in last week: COVID1
covid1yp_2110,a6a12: Pp ever had headaches more often/worse than usual since Oct: COVID1
covid1yp_2111,a6a12:  Participant had headaches more often/worse than usual in Oct: COVID1
covid1yp_2112,a6a12:  Participant had headaches more often/worse than usual in Nov: COVID1
covid1yp_2113,a6a12:  Participant had headaches more often/worse than usual in Dec: COVID1
covid1yp_2114,a6a12:  Participant had headaches more often/worse than usual in Jan: COVID1
covid1yp_2115,a6a12:  Participant had headaches more often/worse than usual in Feb: COVID1
covid1yp_2116,a6a12:  Participant had headaches more often/worse than usual in Mar: COVID1
covid1yp_2117,a6a12:  Participant had headaches more often/worse than usual in Apr: COVID1
covid1yp_2118,a6a12: Pp had headaches more often/worse than usual in last week: COVID1
covid1yp_2120,a6a13: Participant ever had dizziness since Oct: COVID1
covid1yp_2121,a6a13:  Participant had dizziness in Oct: COVID1
covid1yp_2122,a6a13:  Participant had dizziness in Nov: COVID1
covid1yp_2123,a6a13:  Participant had dizziness in Dec: COVID1
covid1yp_2124,a6a13:  Participant had dizziness in Jan: COVID1
covid1yp_2125,a6a13:  Participant had dizziness in Feb: COVID1
covid1yp_2126,a6a13:  Participant had dizziness in Mar: COVID1
covid1yp_2127,a6a13:  Participant had dizziness in Apr: COVID1
covid1yp_2128,a6a13:  Participant had dizziness in last week: COVID1
covid1yp_2130,a6a14: Participant ever had a new persistent cough since Oct: COVID1
covid1yp_2131,a6a14:  Participant had a new persistent cough in Oct: COVID1
covid1yp_2132,a6a14:  Participant had a new persistent cough in Nov: COVID1
covid1yp_2133,a6a14:  Participant had a new persistent cough in Dec: COVID1
covid1yp_2134,a6a14:  Participant had a new persistent cough in Jan: COVID1
covid1yp_2135,a6a14:  Participant had a new persistent cough in Feb: COVID1
covid1yp_2136,a6a14:  Participant had a new persistent cough in Mar: COVID1
covid1yp_2137,a6a14:  Participant had a new persistent cough in Apr: COVID1
covid1yp_2138,a6a14:  Participant had a new persistent cough in last week: COVID1
covid1yp_2140,a6a15: Participant ever had tightness in the chest since Oct: COVID1
covid1yp_2141,a6a15:  Participant had tightness in the chest in Oct: COVID1
covid1yp_2142,a6a15:  Participant had tightness in the chest in Nov: COVID1
covid1yp_2143,a6a15:  Participant had tightness in the chest in Dec: COVID1
covid1yp_2144,a6a15:  Participant had tightness in the chest in Jan: COVID1
covid1yp_2145,a6a15:  Participant had tightness in the chest in Feb: COVID1
covid1yp_2146,a6a15:  Participant had tightness in the chest in Mar: COVID1
covid1yp_2147,a6a15:  Participant had tightness in the chest in Apr: COVID1
covid1yp_2148,a6a15:  Participant had tightness in the chest in last week: COVID1
covid1yp_2150,a6a16: Participant ever had chest pain since Oct: COVID1
covid1yp_2151,a6a16:  Participant had chest pain in Oct: COVID1
covid1yp_2152,a6a16:  Participant had chest pain in Nov: COVID1
covid1yp_2153,a6a16:  Participant had chest pain in Dec: COVID1
covid1yp_2154,a6a16:  Participant had chest pain in Jan: COVID1
covid1yp_2155,a6a16:  Participant had chest pain in Feb: COVID1
covid1yp_2156,a6a16:  Participant had chest pain in Mar: COVID1
covid1yp_2157,a6a16:  Participant had chest pain in Apr: COVID1
covid1yp_2158,a6a16:  Participant had chest pain in last week: COVID1
covid1yp_2160,a6a17: Participant ever had fever since Oct: COVID1
covid1yp_2161,a6a17:  Participant had fever in Oct: COVID1
covid1yp_2162,a6a17:  Participant had fever in Nov: COVID1
covid1yp_2163,a6a17:  Participant had fever in Dec: COVID1
covid1yp_2164,a6a17:  Participant had fever in Jan: COVID1
covid1yp_2165,a6a17:  Participant had fever in Feb: COVID1
covid1yp_2166,a6a17:  Participant had fever in Mar: COVID1
covid1yp_2167,a6a17:  Participant had fever in Apr: COVID1
covid1yp_2168,a6a17:  Participant had fever in last week: COVID1
covid1yp_2170,a6a18: Participant ever had chills since Oct: COVID1
covid1yp_2171,a6a18:  Participant had chills in Oct: COVID1
covid1yp_2172,a6a18:  Participant had chills in Nov: COVID1
covid1yp_2173,a6a18:  Participant had chills in Dec: COVID1
covid1yp_2174,a6a18:  Participant had chills in Jan: COVID1
covid1yp_2175,a6a18:  Participant had chills in Feb: COVID1
covid1yp_2176,a6a18:  Participant had chills in Mar: COVID1
covid1yp_2177,a6a18:  Participant had chills in Apr: COVID1
covid1yp_2178,a6a18:  Participant had chills in last week: COVID1
covid1yp_2180,a6a19: Participant ever had difficulty sleeping since Oct: COVID1
covid1yp_2181,a6a19:  Participant had difficulty sleeping in Oct: COVID1
covid1yp_2182,a6a19:  Participant had difficulty sleeping in Nov: COVID1
covid1yp_2183,a6a19:  Participant had difficulty sleeping in Dec: COVID1
covid1yp_2184,a6a19:  Participant had difficulty sleeping in Jan: COVID1
covid1yp_2185,a6a19:  Participant had difficulty sleeping in Feb: COVID1
covid1yp_2186,a6a19:  Participant had difficulty sleeping in Mar: COVID1
covid1yp_2187,a6a19:  Participant had difficulty sleeping in Apr: COVID1
covid1yp_2188,a6a19:  Participant had difficulty sleeping in last week: COVID1
covid1yp_2190,a6a20: Participant ever felt more tired than normal since Oct: COVID1
covid1yp_2191,a6a20:  Participant felt more tired than normal in Oct: COVID1
covid1yp_2192,a6a20:  Participant felt more tired than normal in Nov: COVID1
covid1yp_2193,a6a20:  Participant felt more tired than normal in Dec: COVID1
covid1yp_2194,a6a20:  Participant felt more tired than normal in Jan: COVID1
covid1yp_2195,a6a20: Participant felt more tired than normal in Feb: COVID1
covid1yp_2196,a6a20: Participant felt more tired than normal in Mar: COVID1
covid1yp_2197,a6a20:  Participant felt more tired than normal in Apr': COVID1
covid1yp_2198,a6a20:  Participant felt more tired than normal in last week: COVID1
covid1yp_2200,a6a21: Participant ever had severe fatigue since Oct: COVID1
covid1yp_2201,a6a21:  Participant had severe fatigue in Oct: COVID1
covid1yp_2202,a6a21:  Participant had severe fatigue in Nov: COVID1
covid1yp_2203,a6a21:  Participant had severe fatigue in Dec: COVID1
covid1yp_2204,a6a21:  Participant had severe fatigue in Jan: COVID1
covid1yp_2205,a6a21:  Participant had severe fatigue in Feb: COVID1
covid1yp_2206,a6a21:  Participant had severe fatigue in Mar: COVID1
covid1yp_2207,a6a21:  Participant had severe fatigue in Apr: COVID1
covid1yp_2208,a6a21:  Participant had severe fatigue in last week: COVID1
covid1yp_2210,a6a22: Participant ever had numbness or tingling since Oct: COVID1
covid1yp_2211,a6a22:  Participant had numbness or tingling in Oct: COVID1
covid1yp_2212,a6a22:  Participant had numbness or tingling in Nov: COVID1
covid1yp_2213,a6a22:  Participant had numbness or tingling in Dec: COVID1
covid1yp_2214,a6a22:  Participant had numbness or tingling in Jan: COVID1
covid1yp_2215,a6a22:  Participant had numbness or tingling in Feb: COVID1
covid1yp_2216,a6a22:  Participant had numbness or tingling in Mar: COVID1
covid1yp_2217,a6a22:  Participant had numbness or tingling in Apr: COVID1
covid1yp_2218,a6a22: Participant had numbness or tingling in last week: COVID1
covid1yp_2220,a6a23: Pp ever had a feeling of heaviness in arms or legs since Oct: COVID1
covid1yp_2221,a6a23:  Participant had a feeling of heaviness in arms or legs in Oct: COVID1
covid1yp_2222,a6a23:  Participant had a feeling of heaviness in arms or legs in Nov: COVID1
covid1yp_2223,a6a23:  Participant had a feeling of heaviness in arms or legs in Dec: COVID1
covid1yp_2224,a6a23:  Participant had a feeling of heaviness in arms or legs in Jan: COVID1
covid1yp_2225,a6a23:  Participant had a feeling of heaviness in arms or legs in Feb: COVID1
covid1yp_2226,a6a23:  Participant had a feeling of heaviness in arms or legs in Mar: COVID1
covid1yp_2227,a6a23:  Participant had a feeling of heaviness in arms or legs in Apr: COVID1
covid1yp_2228,a6a23: Pp had a feeling of heaviness in arms or legs in last week: COVID1
covid1yp_2230,a6a24: Participant ever had achy muscles since Oct: COVID1
covid1yp_2231,a6a24:  Participant had achy muscles in Oct: COVID1
covid1yp_2232,a6a24:  Participant had achy muscles in Nov: COVID1
covid1yp_2233,a6a24:  Participant had achy muscles in Dec: COVID1
covid1yp_2234,a6a24:  Participant had achy muscles in Jan: COVID1
covid1yp_2235,a6a24:  Participant had achy muscles in Feb: COVID1
covid1yp_2236,a6a24:  Participant had achy muscles in Mar: COVID1
covid1yp_2237,a6a24:  Participant had achy muscles in Apr: COVID1
covid1yp_2238,a6a24: Participant had achy muscles in last week: COVID1
covid1yp_2240,a6a25: Participant ever had shortness of breath since Oct: COVID1
covid1yp_2241,a6a25:  Participant had shortness of breath in Oct: COVID1
covid1yp_2242,a6a25: Participant had shortness of breath in Nov: COVID1
covid1yp_2243,a6a25:  Participant had shortness of breath in Dec: COVID1
covid1yp_2244,a6a25:  Participant had shortness of breath in Jan: COVID1
covid1yp_2245,a6a25:  Participant had shortness of breath in Feb: COVID1
covid1yp_2246,a6a25:  Participant had shortness of breath in Mar: COVID1
covid1yp_2247,a6a25:  Participant had shortness of breath in Apr: COVID1
covid1yp_2248,a6a25: Participant had shortness of breath in last week: COVID1
covid1yp_2500,DV: Participant did not have any symptoms in the last week: COVID1
covid1yp_2510,a6b: If symptoms in last week; # days ago 1st symptom started: COVID1
covid1yp_2515,a6c: If symptoms in last week; # days ago last symptom finished: COVID1
covid1yp_2520,a6d: If had symptoms in last week; pp sought medical attention: COVID1
covid1yp_2521,a6d1: Pp contacted NHS 111; by phone/online about symptoms in last week: COVID1
covid1yp_2522,a6d1: Particpant visited pharmacist about symptoms in last week: COVID1
covid1yp_2523,a6d1: Pp consulted GP over the phone/online about symptoms in last week: COVID1
covid1yp_2524,a6d1: Particpant consulted GP face to face about symptoms in last week: COVID1
covid1yp_2525,a6d1: Particpant went to a walk-in centre about symptoms in last week: COVID1
covid1yp_2526,a6d1: Pp went to Accident and Emergency about symptoms in last week: COVID1
covid1yp_2527,a6d1: Pp sought other medical attention about symptoms in last week: COVID1
covid1yp_2540,a6e: Participant took paracetamol to treat symptoms in last week: COVID1
covid1yp_2541,a6e: Participant took ibuprofen to treat symptoms in last week: COVID1
covid1yp_2542,a6e: Participant took antibiotics to treat symptoms in last week: COVID1
covid1yp_2543,a6e: Participant took other medication to treat symptoms in last week: COVID1
covid1yp_2560,a7: Participant had temperature taken in the last week: COVID1
covid1yp_2561,a7a: Doctor/nurse/other healthcare professional took pp's temperature: COVID1
covid1yp_2562,a7b: Participant's highest temperature (Â°C): COVID1
covid1yp_2570,a8a: Pp had shortness of breath (difficulty breathing) in last week: COVID1
covid1yp_2580,a9: Participant thinks they have or have had COVID-19: COVID1
covid1yp_2585,a10: Pp close contact w/ person w/ COVID-like symptoms in last 2 weeks: COVID1
covid1yp_2590,a11: Participant had a flu jab in the last 12 months: COVID1
covid1yp_2600,DV: Predicted COVID case; based on Menni algorithm (October): COVID1
covid1yp_2601,DV: Predicted COVID case; based on Menni algorithm (November): COVID1
covid1yp_2602,DV: Predicted COVID case; based on Menni algorithm (December): COVID1
covid1yp_2603,DV: Predicted COVID case; based on Menni algorithm (January): COVID1
covid1yp_2604,DV: Predicted COVID case; based on Menni algorithm (February): COVID1
covid1yp_2605,DV: Predicted COVID case; based on Menni algorithm (March): COVID1
covid1yp_2606,DV: Predicted COVID case; based on Menni algorithm (April): COVID1
covid1yp_3000,b1: Participant has or is self-isolating : COVID1
covid1yp_3005,DV: How many weeks participant self-isolated/planning to self-isolate: COVID1
covid1yp_3010,b1c: Participant self-isolated because they were diagnosed with COVID-19: COVID1
covid1yp_3011,b1c: Pp self-isolated bc showed symptoms; but not diagnosed COVID-19: COVID1
covid1yp_3012,b1c: Pp self-isolated because they someone in household had symptoms: COVID1
covid1yp_3013,b1c:  Participant self-isolated because they are in a vulnerable group: COVID1
covid1yp_3014,b1c: Pp self-isolated because live with someone in a vulnerable group: COVID1
covid1yp_3015,b1c: Pp self-isolated bc travelled somewhere and was told to on return: COVID1
covid1yp_3016,b1c:  Participant self-isolated for another reason: COVID1
covid1yp_3020,b2: Pp changed what they did on a day to day basis before lockdown: COVID1
covid1yp_3021,b2a: Pp changed behaviour because they showed symptoms and felt unwell: COVID1
covid1yp_3022,b2a: Pp changed behaviour because they didn't want to infect others: COVID1
covid1yp_3023,b2a:  Participant changed behaviour because they were following advice: COVID1
covid1yp_3024,b2a: Pp changed behaviour because didn't want to get infected by others: COVID1
covid1yp_3025,b2a:  Participant changed behaviour for another reason: COVID1
covid1yp_3030,b2b: Before lockdown participant cancelled their usual social activities: COVID1
covid1yp_3031,b2b: Before lockdown participant had to stop working: COVID1
covid1yp_3032,b2b: Before lockdown participant moved to working at home: COVID1
covid1yp_3033,b2b: Before lockdown participant didn't attend lectures: COVID1
covid1yp_3034,b2b: Before lockdown participant didn't go shopping: COVID1
covid1yp_3035,b2b: Before lockdown participant didn't leave the house: COVID1
covid1yp_3036,b2b: Before lockdown participant wore a mask: COVID1
covid1yp_3037,b2b: Before lockdown pp tried to avoid physical contact with people: COVID1
covid1yp_3038,b2b: Before lockdown participant followed handwashing recommendations: COVID1
covid1yp_3039,b2b: Before lockdown participant used hand sanitizer more than usual: COVID1
covid1yp_3040,b2b: Before lockdown participant used tissues more than usual: COVID1
covid1yp_3045,b3: # events pp took part in w/ >10 people; in week before lockdown: COVID1
covid1yp_3050,b4a: Since lockdown participant has changed amount they sleep: COVID1
covid1yp_3051,b4b: Since lockdown pp changed amount of physical activity/exercise: COVID1
covid1yp_3052,b4c: Since lockdown pp changed how much they visit green space: COVID1
covid1yp_3053,b4d: Since lockdown participant has changed amount they smoke/vape: COVID1
covid1yp_3054,b4e: Since lockdown participant has changed amount of alcohol they drink: COVID1
covid1yp_3055,b4f: Since lockdown pp changed how much they work outside home: COVID1
covid1yp_3056,b4g: Since lockdown participant has changed how much they work at home: COVID1
covid1yp_3057,b4h: Since lockdown pp changed time spent on computer/tablet/phone: COVID1
covid1yp_3058,b4i: Since lockdown participant has changed the time spent watching TV: COVID1
covid1yp_3059,b4j: Since lockdown pp changed time talking family/friends inside home: COVID1
covid1yp_3060,b4k: Since lockdown pp changed time talking family/friends outside home: COVID1
covid1yp_3061,b4l: Since lockdown pp changed time spent talking to work colleagues: COVID1
